year,sex,age,distribution,parameter-description,parameter-1,parameter-2,parameter-3,parameter-4
1985,M,85,Exponential,(rate-shift),0.151951479,0.000000,,
1985,M,86,Exponential,(rate-shift),0.165049521,0.000000,,
1985,M,87,Exponential,(rate-shift),0.178708557,0.000000,,
1985,M,88,Exponential,(rate-shift),0.192270987,0.000000,,
1985,M,89,Exponential,(rate-shift),0.206727434,0.000000,,
1985,M,90,Exponential,(rate-shift),0.222114235,0.000000,,
1986,M,0,Exponential,(rate-shift),0.05520115,0.000000,,
1986,M,1,Exponential,(rate-shift),0.013545073,0.000000,,
1986,M,2,Exponential,(rate-shift),0.004972736,0.000000,,
1986,M,3,Exponential,(rate-shift),0.002293621,0.000000,,
1986,M,4,Exponential,(rate-shift),0.001477971,0.000000,,
1986,M,5,Exponential,(rate-shift),0.00115835,0.000000,,
1986,M,6,Exponential,(rate-shift),9.94581e-4,0.000000,,
1986,M,7,Exponential,(rate-shift),8.47843e-4,0.000000,,
1986,M,8,Exponential,(rate-shift),7.56391e-4,0.000000,,
1986,M,9,Exponential,(rate-shift),6.53441e-4,0.000000,,
1986,M,10,Exponential,(rate-shift),5.9954e-4,0.000000,,
1986,M,11,Exponential,(rate-shift),6.37253e-4,0.000000,,
1986,M,12,Exponential,(rate-shift),7.56244e-4,0.000000,,
1986,M,13,Exponential,(rate-shift),9.82798e-4,0.000000,,
1986,M,14,Exponential,(rate-shift),0.001292885,0.000000,,
1986,M,15,Exponential,(rate-shift),0.00161197,0.000000,,
1986,M,16,Exponential,(rate-shift),0.001966697,0.000000,,
1986,M,17,Exponential,(rate-shift),0.002355102,0.000000,,
1986,M,18,Exponential,(rate-shift),0.002765932,0.000000,,
1986,M,19,Exponential,(rate-shift),0.003185716,0.000000,,
1986,M,20,Exponential,(rate-shift),0.003612537,0.000000,,
1986,M,21,Exponential,(rate-shift),0.004031348,0.000000,,
1986,M,22,Exponential,(rate-shift),0.004409711,0.000000,,
1986,M,23,Exponential,(rate-shift),0.004729539,0.000000,,
1986,M,24,Exponential,(rate-shift),0.004992732,0.000000,,
1986,M,25,Exponential,(rate-shift),0.005209698,0.000000,,
1986,M,26,Exponential,(rate-shift),0.005358828,0.000000,,
1986,M,27,Exponential,(rate-shift),0.005453246,0.000000,,
1986,M,28,Exponential,(rate-shift),0.005542595,0.000000,,
1986,M,29,Exponential,(rate-shift),0.005646396,0.000000,,
1986,M,30,Exponential,(rate-shift),0.005750366,0.000000,,
1986,M,31,Exponential,(rate-shift),0.005832247,0.000000,,
1986,M,32,Exponential,(rate-shift),0.005913433,0.000000,,
1986,M,33,Exponential,(rate-shift),0.006017052,0.000000,,
1986,M,34,Exponential,(rate-shift),0.006144569,0.000000,,
1986,M,35,Exponential,(rate-shift),0.006292685,0.000000,,
1986,M,36,Exponential,(rate-shift),0.006481203,0.000000,,
1986,M,37,Exponential,(rate-shift),0.006718479,0.000000,,
1986,M,38,Exponential,(rate-shift),0.006995545,0.000000,,
1986,M,39,Exponential,(rate-shift),0.007319348,0.000000,,
1986,M,40,Exponential,(rate-shift),0.007689027,0.000000,,
1986,M,41,Exponential,(rate-shift),0.008110066,0.000000,,
1986,M,42,Exponential,(rate-shift),0.00859242,0.000000,,
1986,M,43,Exponential,(rate-shift),0.009130442,0.000000,,
1986,M,44,Exponential,(rate-shift),0.009717996,0.000000,,
1986,M,45,Exponential,(rate-shift),0.01036252,0.000000,,
1986,M,46,Exponential,(rate-shift),0.011106461,0.000000,,
1986,M,47,Exponential,(rate-shift),0.01195458,0.000000,,
1986,M,48,Exponential,(rate-shift),0.012900382,0.000000,,
1986,M,49,Exponential,(rate-shift),0.013956864,0.000000,,
1986,M,50,Exponential,(rate-shift),0.015127443,0.000000,,
1986,M,51,Exponential,(rate-shift),0.016368882,0.000000,,
1986,M,52,Exponential,(rate-shift),0.017629203,0.000000,,
1986,M,53,Exponential,(rate-shift),0.018891562,0.000000,,
1986,M,54,Exponential,(rate-shift),0.020147814,0.000000,,
1986,M,55,Exponential,(rate-shift),0.021399098,0.000000,,
1986,M,56,Exponential,(rate-shift),0.022699981,0.000000,,
1986,M,57,Exponential,(rate-shift),0.024086684,0.000000,,
1986,M,58,Exponential,(rate-shift),0.025545228,0.000000,,
1986,M,59,Exponential,(rate-shift),0.027098056,0.000000,,
1986,M,60,Exponential,(rate-shift),0.028794685,0.000000,,
1986,M,61,Exponential,(rate-shift),0.030677291,0.000000,,
1986,M,62,Exponential,(rate-shift),0.032766916,0.000000,,
1986,M,63,Exponential,(rate-shift),0.035068966,0.000000,,
1986,M,64,Exponential,(rate-shift),0.037588214,0.000000,,
1986,M,65,Exponential,(rate-shift),0.040302656,0.000000,,
1986,M,66,Exponential,(rate-shift),0.043207702,0.000000,,
1986,M,67,Exponential,(rate-shift),0.046267253,0.000000,,
1986,M,68,Exponential,(rate-shift),0.049405539,0.000000,,
1986,M,69,Exponential,(rate-shift),0.052655459,0.000000,,
1986,M,70,Exponential,(rate-shift),0.056191646,0.000000,,
1986,M,71,Exponential,(rate-shift),0.059938205,0.000000,,
1986,M,72,Exponential,(rate-shift),0.064043774,0.000000,,
1986,M,73,Exponential,(rate-shift),0.068606,0.000000,,
1986,M,74,Exponential,(rate-shift),0.073664738,0.000000,,
1986,M,75,Exponential,(rate-shift),0.07913523,0.000000,,
1986,M,76,Exponential,(rate-shift),0.084757024,0.000000,,
1986,M,77,Exponential,(rate-shift),0.090332051,0.000000,,
1986,M,78,Exponential,(rate-shift),0.095669199,0.000000,,
1986,M,79,Exponential,(rate-shift),0.100741648,0.000000,,
1986,M,80,Exponential,(rate-shift),0.105961623,0.000000,,
1986,M,81,Exponential,(rate-shift),0.111860587,0.000000,,
1986,M,82,Exponential,(rate-shift),0.118708665,0.000000,,
1986,M,83,Exponential,(rate-shift),0.128356004,0.000000,,
1986,M,84,Exponential,(rate-shift),0.138789932,0.000000,,
1986,M,85,Exponential,(rate-shift),0.150728194,0.000000,,
1986,M,86,Exponential,(rate-shift),0.163683814,0.000000,,
1986,M,87,Exponential,(rate-shift),0.177224831,0.000000,,
1986,M,88,Exponential,(rate-shift),0.190752407,0.000000,,
1986,M,89,Exponential,(rate-shift),0.205178547,0.000000,,
1986,M,90,Exponential,(rate-shift),0.220540394,0.000000,,
1987,M,0,Exponential,(rate-shift),0.053500038,0.000000,,
1987,M,1,Exponential,(rate-shift),0.012794915,0.000000,,
1987,M,2,Exponential,(rate-shift),0.004835095,0.000000,,
1987,M,3,Exponential,(rate-shift),0.002340546,0.000000,,
1987,M,4,Exponential,(rate-shift),0.001545289,0.000000,,
1987,M,5,Exponential,(rate-shift),0.001208344,0.000000,,
1987,M,6,Exponential,(rate-shift),0.001021921,0.000000,,
1987,M,7,Exponential,(rate-shift),8.60601e-4,0.000000,,
1987,M,8,Exponential,(rate-shift),7.59222e-4,0.000000,,
1987,M,9,Exponential,(rate-shift),6.56446e-4,0.000000,,
1987,M,10,Exponential,(rate-shift),6.06103e-4,0.000000,,
1987,M,11,Exponential,(rate-shift),6.45246e-4,0.000000,,
1987,M,12,Exponential,(rate-shift),7.62895e-4,0.000000,,
1987,M,13,Exponential,(rate-shift),9.81937e-4,0.000000,,
1987,M,14,Exponential,(rate-shift),0.001280546,0.000000,,
1987,M,15,Exponential,(rate-shift),0.001592205,0.000000,,
1987,M,16,Exponential,(rate-shift),0.001943043,0.000000,,
1987,M,17,Exponential,(rate-shift),0.002332243,0.000000,,
1987,M,18,Exponential,(rate-shift),0.002750174,0.000000,,
1987,M,19,Exponential,(rate-shift),0.003182866,0.000000,,
1987,M,20,Exponential,(rate-shift),0.003624421,0.000000,,
1987,M,21,Exponential,(rate-shift),0.004055606,0.000000,,
1987,M,22,Exponential,(rate-shift),0.004442965,0.000000,,
1987,M,23,Exponential,(rate-shift),0.004768253,0.000000,,
1987,M,24,Exponential,(rate-shift),0.005034222,0.000000,,
1987,M,25,Exponential,(rate-shift),0.005252684,0.000000,,
1987,M,26,Exponential,(rate-shift),0.005407724,0.000000,,
1987,M,27,Exponential,(rate-shift),0.005513963,0.000000,,
1987,M,28,Exponential,(rate-shift),0.005617644,0.000000,,
1987,M,29,Exponential,(rate-shift),0.005735601,0.000000,,
1987,M,30,Exponential,(rate-shift),0.00585318,0.000000,,
1987,M,31,Exponential,(rate-shift),0.005947616,0.000000,,
1987,M,32,Exponential,(rate-shift),0.006036863,0.000000,,
1987,M,33,Exponential,(rate-shift),0.006141268,0.000000,,
1987,M,34,Exponential,(rate-shift),0.006263768,0.000000,,
1987,M,35,Exponential,(rate-shift),0.006404921,0.000000,,
1987,M,36,Exponential,(rate-shift),0.006587566,0.000000,,
1987,M,37,Exponential,(rate-shift),0.006822784,0.000000,,
1987,M,38,Exponential,(rate-shift),0.007104129,0.000000,,
1987,M,39,Exponential,(rate-shift),0.007437079,0.000000,,
1987,M,40,Exponential,(rate-shift),0.007818699,0.000000,,
1987,M,41,Exponential,(rate-shift),0.008250578,0.000000,,
1987,M,42,Exponential,(rate-shift),0.008739459,0.000000,,
1987,M,43,Exponential,(rate-shift),0.009279132,0.000000,,
1987,M,44,Exponential,(rate-shift),0.009865255,0.000000,,
1987,M,45,Exponential,(rate-shift),0.010507295,0.000000,,
1987,M,46,Exponential,(rate-shift),0.011247671,0.000000,,
1987,M,47,Exponential,(rate-shift),0.012093186,0.000000,,
1987,M,48,Exponential,(rate-shift),0.013039195,0.000000,,
1987,M,49,Exponential,(rate-shift),0.014095881,0.000000,,
1987,M,50,Exponential,(rate-shift),0.015262415,0.000000,,
1987,M,51,Exponential,(rate-shift),0.016493983,0.000000,,
1987,M,52,Exponential,(rate-shift),0.017739459,0.000000,,
1987,M,53,Exponential,(rate-shift),0.018982714,0.000000,,
1987,M,54,Exponential,(rate-shift),0.020217858,0.000000,,
1987,M,55,Exponential,(rate-shift),0.021447329,0.000000,,
1987,M,56,Exponential,(rate-shift),0.022723027,0.000000,,
1987,M,57,Exponential,(rate-shift),0.024079947,0.000000,,
1987,M,58,Exponential,(rate-shift),0.025505861,0.000000,,
1987,M,59,Exponential,(rate-shift),0.027021846,0.000000,,
1987,M,60,Exponential,(rate-shift),0.028675535,0.000000,,
1987,M,61,Exponential,(rate-shift),0.030508443,0.000000,,
1987,M,62,Exponential,(rate-shift),0.032542217,0.000000,,
1987,M,63,Exponential,(rate-shift),0.034784293,0.000000,,
1987,M,64,Exponential,(rate-shift),0.037239673,0.000000,,
1987,M,65,Exponential,(rate-shift),0.039886854,0.000000,,
1987,M,66,Exponential,(rate-shift),0.042719059,0.000000,,
1987,M,67,Exponential,(rate-shift),0.045702382,0.000000,,
1987,M,68,Exponential,(rate-shift),0.048766639,0.000000,,
1987,M,69,Exponential,(rate-shift),0.051944771,0.000000,,
1987,M,70,Exponential,(rate-shift),0.055403852,0.000000,,
1987,M,71,Exponential,(rate-shift),0.059085816,0.000000,,
1987,M,72,Exponential,(rate-shift),0.063133068,0.000000,,
1987,M,73,Exponential,(rate-shift),0.067643116,0.000000,,
1987,M,74,Exponential,(rate-shift),0.072649774,0.000000,,
1987,M,75,Exponential,(rate-shift),0.078059241,0.000000,,
1987,M,76,Exponential,(rate-shift),0.083611339,0.000000,,
1987,M,77,Exponential,(rate-shift),0.089112537,0.000000,,
1987,M,78,Exponential,(rate-shift),0.094390879,0.000000,,
1987,M,79,Exponential,(rate-shift),0.099436674,0.000000,,
1987,M,80,Exponential,(rate-shift),0.10464741,0.000000,,
1987,M,81,Exponential,(rate-shift),0.110720363,0.000000,,
1987,M,82,Exponential,(rate-shift),0.117713114,0.000000,,
1987,M,83,Exponential,(rate-shift),0.127311513,0.000000,,
1987,M,84,Exponential,(rate-shift),0.137689893,0.000000,,
1987,M,85,Exponential,(rate-shift),0.14950491,0.000000,,
1987,M,86,Exponential,(rate-shift),0.162318107,0.000000,,
1987,M,87,Exponential,(rate-shift),0.175741104,0.000000,,
1987,M,88,Exponential,(rate-shift),0.189233828,0.000000,,
1987,M,89,Exponential,(rate-shift),0.20362966,0.000000,,
1987,M,90,Exponential,(rate-shift),0.218966553,0.000000,,
1988,M,0,Exponential,(rate-shift),0.051798927,0.000000,,
1988,M,1,Exponential,(rate-shift),0.012044756,0.000000,,
1988,M,2,Exponential,(rate-shift),0.004697454,0.000000,,
1988,M,3,Exponential,(rate-shift),0.002387471,0.000000,,
1988,M,4,Exponential,(rate-shift),0.001612607,0.000000,,
1988,M,5,Exponential,(rate-shift),0.001258338,0.000000,,
1988,M,6,Exponential,(rate-shift),0.001049262,0.000000,,
1988,M,7,Exponential,(rate-shift),8.73359e-4,0.000000,,
1988,M,8,Exponential,(rate-shift),7.62052e-4,0.000000,,
1988,M,9,Exponential,(rate-shift),6.59451e-4,0.000000,,
1988,M,10,Exponential,(rate-shift),6.12667e-4,0.000000,,
1988,M,11,Exponential,(rate-shift),6.53239e-4,0.000000,,
1988,M,12,Exponential,(rate-shift),7.69546e-4,0.000000,,
1988,M,13,Exponential,(rate-shift),9.81076e-4,0.000000,,
1988,M,14,Exponential,(rate-shift),0.001268208,0.000000,,
1988,M,15,Exponential,(rate-shift),0.001572439,0.000000,,
1988,M,16,Exponential,(rate-shift),0.001919389,0.000000,,
1988,M,17,Exponential,(rate-shift),0.002309384,0.000000,,
1988,M,18,Exponential,(rate-shift),0.002734415,0.000000,,
1988,M,19,Exponential,(rate-shift),0.003180017,0.000000,,
1988,M,20,Exponential,(rate-shift),0.003636304,0.000000,,
1988,M,21,Exponential,(rate-shift),0.004079864,0.000000,,
1988,M,22,Exponential,(rate-shift),0.004476219,0.000000,,
1988,M,23,Exponential,(rate-shift),0.004806967,0.000000,,
1988,M,24,Exponential,(rate-shift),0.005075711,0.000000,,
1988,M,25,Exponential,(rate-shift),0.005295669,0.000000,,
1988,M,26,Exponential,(rate-shift),0.005456621,0.000000,,
1988,M,27,Exponential,(rate-shift),0.00557468,0.000000,,
1988,M,28,Exponential,(rate-shift),0.005692693,0.000000,,
1988,M,29,Exponential,(rate-shift),0.005824807,0.000000,,
1988,M,30,Exponential,(rate-shift),0.005955994,0.000000,,
1988,M,31,Exponential,(rate-shift),0.006062985,0.000000,,
1988,M,32,Exponential,(rate-shift),0.006160293,0.000000,,
1988,M,33,Exponential,(rate-shift),0.006265483,0.000000,,
1988,M,34,Exponential,(rate-shift),0.006382967,0.000000,,
1988,M,35,Exponential,(rate-shift),0.006517158,0.000000,,
1988,M,36,Exponential,(rate-shift),0.006693929,0.000000,,
1988,M,37,Exponential,(rate-shift),0.006927089,0.000000,,
1988,M,38,Exponential,(rate-shift),0.007212712,0.000000,,
1988,M,39,Exponential,(rate-shift),0.007554809,0.000000,,
1988,M,40,Exponential,(rate-shift),0.00794837,0.000000,,
1988,M,41,Exponential,(rate-shift),0.00839109,0.000000,,
1988,M,42,Exponential,(rate-shift),0.008886498,0.000000,,
1988,M,43,Exponential,(rate-shift),0.009427822,0.000000,,
1988,M,44,Exponential,(rate-shift),0.010012514,0.000000,,
1988,M,45,Exponential,(rate-shift),0.01065207,0.000000,,
1988,M,46,Exponential,(rate-shift),0.011388882,0.000000,,
1988,M,47,Exponential,(rate-shift),0.012231792,0.000000,,
1988,M,48,Exponential,(rate-shift),0.013178009,0.000000,,
1988,M,49,Exponential,(rate-shift),0.014234898,0.000000,,
1988,M,50,Exponential,(rate-shift),0.015397386,0.000000,,
1988,M,51,Exponential,(rate-shift),0.016619083,0.000000,,
1988,M,52,Exponential,(rate-shift),0.017849715,0.000000,,
1988,M,53,Exponential,(rate-shift),0.019073865,0.000000,,
1988,M,54,Exponential,(rate-shift),0.020287902,0.000000,,
1988,M,55,Exponential,(rate-shift),0.021495559,0.000000,,
1988,M,56,Exponential,(rate-shift),0.022746072,0.000000,,
1988,M,57,Exponential,(rate-shift),0.024073211,0.000000,,
1988,M,58,Exponential,(rate-shift),0.025466494,0.000000,,
1988,M,59,Exponential,(rate-shift),0.026945636,0.000000,,
1988,M,60,Exponential,(rate-shift),0.028556385,0.000000,,
1988,M,61,Exponential,(rate-shift),0.030339595,0.000000,,
1988,M,62,Exponential,(rate-shift),0.032317519,0.000000,,
1988,M,63,Exponential,(rate-shift),0.034499621,0.000000,,
1988,M,64,Exponential,(rate-shift),0.036891132,0.000000,,
1988,M,65,Exponential,(rate-shift),0.039471052,0.000000,,
1988,M,66,Exponential,(rate-shift),0.042230416,0.000000,,
1988,M,67,Exponential,(rate-shift),0.045137512,0.000000,,
1988,M,68,Exponential,(rate-shift),0.048127739,0.000000,,
1988,M,69,Exponential,(rate-shift),0.051234082,0.000000,,
1988,M,70,Exponential,(rate-shift),0.054616058,0.000000,,
1988,M,71,Exponential,(rate-shift),0.058233428,0.000000,,
1988,M,72,Exponential,(rate-shift),0.062222363,0.000000,,
1988,M,73,Exponential,(rate-shift),0.066680233,0.000000,,
1988,M,74,Exponential,(rate-shift),0.07163481,0.000000,,
1988,M,75,Exponential,(rate-shift),0.076983253,0.000000,,
1988,M,76,Exponential,(rate-shift),0.082465653,0.000000,,
1988,M,77,Exponential,(rate-shift),0.087893022,0.000000,,
1988,M,78,Exponential,(rate-shift),0.093112559,0.000000,,
1988,M,79,Exponential,(rate-shift),0.0981317,0.000000,,
1988,M,80,Exponential,(rate-shift),0.103333196,0.000000,,
1988,M,81,Exponential,(rate-shift),0.109580138,0.000000,,
1988,M,82,Exponential,(rate-shift),0.116717563,0.000000,,
1988,M,83,Exponential,(rate-shift),0.126267021,0.000000,,
1988,M,84,Exponential,(rate-shift),0.136589854,0.000000,,
1988,M,85,Exponential,(rate-shift),0.148281625,0.000000,,
1988,M,86,Exponential,(rate-shift),0.160952401,0.000000,,
1988,M,87,Exponential,(rate-shift),0.174257377,0.000000,,
1988,M,88,Exponential,(rate-shift),0.187715249,0.000000,,
1988,M,89,Exponential,(rate-shift),0.202080773,0.000000,,
1988,M,90,Exponential,(rate-shift),0.217392711,0.000000,,
1989,M,0,Exponential,(rate-shift),0.050097815,0.000000,,
