year,sex,age,distribution,parameter-description,parameter-1,parameter-2,parameter-3,parameter-4
-,-,5,,,,,,
,,7,,,,,,
,,15,Weibull,(alpha-beta),1,0.9705,,
,,20,Weibull,(alpha-beta),1,3.2558,,
,,25,Johnson Sb,(shape-shape-location-scale),-1.3774,21.1647,0.7681,1.0483
,,30,Johnson Sb,(shape-shape-location-scale),-9.7884,38.5273,-0.1148,1.9696
,,35,Johnson Sb,(shape-shape-location-scale),-238.1085,280.0462,-10.2912,4.5945
,,40,Johnson Sb,(shape-shape-location-scale),-388.8243,427.4520,-10.0622,3.2480
,,45,Johnson Sb,(shape-shape-location-scale),-678.2734,725.0746,-13.4162,3.8736
